"name","ra","dec","trigger_time","t90","t90_error","t90_start","trigger_name"
"GRB170827818","48.79","-65.38","57992.818107231","   0.832"," 0.405","  -0.448","bn170827818"
"GRB170829414","340.08","-28.23","57994.414242816","  51.457"," 2.064","  -4.608","bn170829414"
"GRB170829674","326.59","40.65","57994.673647658","  81.152"," 4.636","   0.000","bn170829674"
"GRB170830069","353","18.31","57995.068567438"," 216.835"," 4.290","   0.512","bn170830069"
"GRB170830135","267.244","-2","57995.134744777"," 117.250"," 2.318","   0.256","bn170830135"
"GRB170830328","219.95","32.41","57995.327674915","  14.592"," 1.557","  -1.792","bn170830328"
"GRB170831179","158.71","49.8","57996.179295504","  57.345"," 8.738","  -1.024","bn170831179"
"GRB170901007","23.97","-1.6","57997.006979389","   5.888"," 2.673","  -0.768","bn170901007"
"GRB170901255","117.51","-13.23","57997.255410332","   8.960"," 1.280","  -4.864","bn170901255"
"GRB170901345","135.43","-24.78","57997.345073812","  29.696"," 3.665","  -8.192","bn170901345"
"GRB170903534","254.532","34.985","57999.534117933","  25.600"," 1.493","  -1.536","bn170903534"
"GRB170906030","203.955","-47.1007","58002.02995546","  78.849"," 0.724","  12.032","bn170906030"
"GRB170906039","232.204","-28.2563","58002.03866726","  11.520"," 1.379","  -0.256","bn170906039"
"GRB170906485","34.86","-62.28","58002.484917113","  45.568","16.689","  -2.304","bn170906485"
"GRB170910368","197.65","-29.71","58006.368059704","  27.392"," 2.985","  -3.840","bn170910368"
"GRB170911267","72.1","30.914","58007.266930481","  19.968"," 3.620","  -8.192","bn170911267"
"GRB170912273","215.459","-61.9967","58008.273459651","  13.568"," 1.557","   0.000","bn170912273"
"GRB170912985","83.57","7.2","58008.984868895","   0.480"," 1.000","  -0.448","bn170912985"
"GRB170915161","120.26","-38.42","58011.160765702","  15.613"," 0.722","   0.003","bn170915161"
"GRB170915520","259.83","-10.56","58011.51963271","   0.640"," 0.870","  -0.064","bn170915520"
"GRB170916700","98.43","7.17","58012.699668192","   5.120"," 0.923","  -2.304","bn170916700"
"GRB170918139","36.56","3.52","58014.139153701","   0.128"," 0.163","  -0.032","bn170918139"
"GRB170921168","132.375","57.057","58017.168188783","  39.361"," 4.481","   1.024","bn170921168"
"GRB170923101","120.12","-35.33","58019.100703704","  46.080","14.956","  -3.072","bn170923101"
"GRB170923188","221.53","81.21","58019.188257372","  59.454"," 2.580","   0.003","bn170923188"
