url,GRBName,Trig_no,healpix,locprob
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170329387/quicklook/,bn170329387,512471831,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170402285/quicklook/,bn170402285,512808659,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170402961/quicklook/,bn170402961,512867010,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170403583/quicklook/,bn170403583,512920762,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170403707/quicklook/,bn170403707,512931458,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170405777/quicklook/,bn170405777,513110367,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170409112/quicklook/,bn170409112,513398525,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170412917/quicklook/,bn170412917,513727252,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170412988/quicklook/,bn170412988,513733380,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170414551/quicklook/,bn170414551,513868401,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170416583/quicklook/,bn170416583,514044010,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170419898/quicklook/,bn170419898,514330431,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170419983/quicklook/,bn170419983,514337779,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170422343/quicklook/,bn170422343,514541639,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170423719/quicklook/,bn170423719,514660513,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170423872/quicklook/,bn170423872,514673728,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170424425/quicklook/,bn170424425,514721555,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170428136/quicklook/,bn170428136,515042182,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170429799/quicklook/,bn170429799,515185877,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170501467/quicklook/,bn170501467,515329918,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170504734/quicklook/,bn170504734,515612255,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170506169/quicklook/,bn170506169,515736173,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170510217/quicklook/,bn170510217,516085950,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170511249/quicklook/,bn170511249,516175156,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170511477/quicklook/,bn170511477,516194820,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170511648/quicklook/,bn170511648,516209590,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170514152/quicklook/,bn170514152,516425923,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170514180/quicklook/,bn170514180,516428323,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170514541/quicklook/,bn170514541,516459580,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170516808/quicklook/,bn170516808,516655451,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170520202/quicklook/,bn170520202,516948677,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170521882/quicklook/,bn170521882,517093851,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170522657/quicklook/,bn170522657,517160740,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170527480/quicklook/,bn170527480,517577467,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170530581/quicklook/,bn170530581,517845377,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170604603/quicklook/,bn170604603,518279290,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170606968/quicklook/,bn170606968,518483662,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170607946/quicklook/,bn170607946,518568123,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170607971/quicklook/,bn170607971,518570284,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170610689/quicklook/,bn170610689,518805112,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170611937/quicklook/,bn170611937,518912980,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170614255/quicklook/,bn170614255,519113206,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170614486/quicklook/,bn170614486,519133191,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170616047/quicklook/,bn170616047,519268067,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170616165/quicklook/,bn170616165,519278292,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170618475/quicklook/,bn170618475,519477886,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170621784/quicklook/,bn170621784,519763773,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170625692/quicklook/,bn170625692,520101352,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170627931/quicklook/,bn170627931,520294865,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170629537/quicklook/,bn170629537,520433616,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170705115/quicklook/,bn170705115,520915556,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170705200/quicklook/,bn170705200,520922915,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170705244/quicklook/,bn170705244,520926650,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170708046/quicklook/,bn170708046,521168776,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170709334/quicklook/,bn170709334,521280028,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170710340/quicklook/,bn170710340,521367012,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170711019/quicklook/,bn170711019,521425617,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170711713/quicklook/,bn170711713,521485601,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170711931/quicklook/,bn170711931,521504430,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170713996/quicklook/,bn170713996,521682878,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170714049/quicklook/,bn170714049,521687456,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170715878/quicklook/,bn170715878,521845458,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170717952/quicklook/,bn170717952,522024686,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170718152/quicklook/,bn170718152,522041975,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170722525/quicklook/,bn170722525,522419778,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170723076/quicklook/,bn170723076,522467355,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170723116/quicklook/,bn170723116,522470841,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170723677/quicklook/,bn170723677,522519332,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170723882/quicklook/,bn170723882,522537023,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170724543/quicklook/,bn170724543,522594155,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170726249/quicklook/,bn170726249,522741500,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170727841/quicklook/,bn170727841,522879062,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170728961/quicklook/,bn170728961,522975804,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170730133/quicklook/,bn170730133,523077109,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170731751/quicklook/,bn170731751,523216904,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170801690/quicklook/,bn170801690,523298028,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170802638/quicklook/,bn170802638,523379909,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170803172/quicklook/,bn170803172,523426040,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170803415/quicklook/,bn170803415,523447069,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170803729/quicklook/,bn170803729,523474232,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170804911/quicklook/,bn170804911,523576346,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170805901/quicklook/,bn170805901,523661874,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170808065/quicklook/,bn170808065,523848854,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170808936/quicklook/,bn170808936,523924068,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170810918/quicklook/,bn170810918,524095306,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170813051/quicklook/,bn170813051,524279593,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170815526/quicklook/,bn170815526,524493492,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170816258/quicklook/,bn170816258,524556676,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170816599/quicklook/,bn170816599,524586188,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170817529/quicklook/,bn170817529,524666471,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170817908/quicklook/,bn170817908,524699259,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170818137/quicklook/,bn170818137,524719044,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170821265/quicklook/,bn170821265,524989325,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170825307/quicklook/,bn170825307,525338526,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170825500/quicklook/,bn170825500,525355210,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170825784/quicklook/,bn170825784,525379756,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170826369/quicklook/,bn170826369,525430272,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170826819/quicklook/,bn170826819,525469141,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170827818/quicklook/,bn170827818,525555489,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170829414/quicklook/,bn170829414,525693395,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170829674/quicklook/,bn170829674,525715808,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170830069/quicklook/,bn170830069,525749929,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170830135/quicklook/,bn170830135,525755646,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170830328/quicklook/,bn170830328,525772316,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170831179/quicklook/,bn170831179,525845896,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170901007/quicklook/,bn170901007,525917408,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170901255/quicklook/,bn170901255,525938872,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170901345/quicklook/,bn170901345,525946619,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170903534/quicklook/,bn170903534,526135752,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170906030/quicklook/,bn170906030,526351393,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170906039/quicklook/,bn170906039,526352145,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170906485/quicklook/,bn170906485,526390701,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170910368/quicklook/,bn170910368,526726205,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170911267/quicklook/,bn170911267,526803867,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170912273/quicklook/,bn170912273,526890831,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170912985/quicklook/,bn170912985,526952297,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170915161/quicklook/,bn170915161,527140295,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170915520/quicklook/,bn170915520,527171301,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170916700/quicklook/,bn170916700,527273256,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170918139/quicklook/,bn170918139,527397627,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170921168/quicklook/,bn170921168,527659336,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170923101/quicklook/,bn170923101,527826305,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170923188/quicklook/,bn170923188,527833870,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170923566/quicklook/,bn170923566,527866539,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170926528/quicklook/,bn170926528,528122386,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170927524/quicklook/,bn170927524,528208493,2048,0
