TrigNum,Date,Time UT,"MesgType GBM LAT","RA (J2000) [deg]","Dec (J2000) [deg]","Error [deg] [arcmin]",Comments
573382480,19/03/04,08:54:35.52,GBM Final Position,344.540,-6.591,0.50,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
573382480,19/03/04,08:54:35.52,GBM Flight Position,339.300,+28.067,15.70,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 28.48,-25.00 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
573368395,19/03/04,04:59:50.50,GBM Flight Position,5.933,+29.533,23.13,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 281.03,25.65 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
573284727,19/03/03,05:45:22.23,GBM Final Position,296.160,+16.770,8.44,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
573284727,19/03/03,05:45:22.23,GBM Ground Position,297.990,+28.040,4.04,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_573284727.fits
573284727,19/03/03,05:45:22.23,GBM Ground Position,298.860,+32.100,4.88,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_573284727.fits
573284727,19/03/03,05:45:22.23,GBM Ground Position,294.720,+31.470,6.80,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_573284727.fits
573284727,19/03/03,05:45:22.23,GBM Ground Position,298.470,+28.950,7.17,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_573284727.fits
573284727,19/03/03,05:45:22.23,GBM Flight Position,293.617,+31.850,14.23,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 35.20,-12.18 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
573284727,19/03/03,05:45:22.23,GBM Flight Position,298.950,+29.850,23.97,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 35.20,-12.18 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
573127280,19/03/01,10:01:15.66,GBM Flight Position,226.700,-55.600,21.78,Fermi-GBM Flight-calculated Coordinates. The LC_URL file will not be created until ~15 min after the trigger.
573088881,19/02/28,23:21:16.32,GBM Final Position,271.070,-9.940,3.77,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
573088881,19/02/28,23:21:16.32,GBM Ground Position,270.140,-11.120,5.04,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_573088881.fits
573088881,19/02/28,23:21:16.32,GBM Flight Position,270.133,-11.117,12.70,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 33.78,25.65 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
573088881,19/02/28,23:21:16.32,GBM Flight Position,270.000,+4.000,22.23,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 33.78,25.65 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
573080612,19/02/28,21:03:27.84,GBM Flight Position,47.733,-72.167,21.47,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 269.02,-24.07 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572876510,19/02/26,12:21:45.68,GBM Final Position,224.430,-8.610,5.11,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. Bright hard burst in the GBM. This is likely a Short GRB.
572876510,19/02/26,12:21:45.68,GBM Ground Position,226.460,-9.510,7.02,Fermi-GBM Ground-calculated Coordinates. Bright hard burst in the GBM. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572876510.fits
572876510,19/02/26,12:21:45.68,GBM Flight Position,219.767,-15.783,9.08,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 135.97,4.70 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572784590,19/02/25,10:49:45.36,GBM Flight Position,345.883,+56.767,30.23,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 130.70,-12.15 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572532812,19/02/22,12:53:27.15,GBM Final Position,147.320,+60.940,1.50,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
572532812,19/02/22,12:53:27.15,GBM Flight Position,134.067,+66.833,5.10,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 74.25,-24.85 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572532812,19/02/22,12:53:27.15,GBM Flight Position,140.300,+71.217,4.83,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 74.25,-24.85 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572525912,19/02/22,10:58:27.35,GBM Flight Position,301.400,-21.200,35.43,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 24.40,-11.85 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
572513380,19/02/22,07:29:35.53,GBM Final Position,214.530,-40.530,3.86,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
572513380,19/02/22,07:29:35.53,GBM Ground Position,213.680,-40.010,9.34,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_572513380.fits
572513380,19/02/22,07:29:35.53,GBM Flight Position,220.383,-41.233,11.67,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 12.18,17.02 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
