GRBName,Trig_no,healpix,locmap
bn170804714,523559321,2048,2048
bn170804911,523576346,2048,0
bn170805901,523661874,2048,0
bn170808065,523848854,2048,0
bn170808281,523867507,2048,2048
bn170808712,523904741,2048,2048
bn170808809,523913104,2048,2048
bn170808936,523924068,2048,0
bn170809128,523940688,2048,2048
bn170809381,523962550,2048,2048
bn170810505,524059626,2048,2048
bn170810918,524095306,2048,0
bn170811359,524133437,2048,2048
bn170812542,524235613,2048,2048
bn170813051,524279593,2048,0
bn170813344,524304935,2048,2048
bn170813463,524315223,2048,2048
bn170814541,524408363,2048,2048
bn170815526,524493492,2048,0
bn170816121,524544867,2048,2048
bn170816258,524556676,2048,0
bn170816599,524586188,2048,0
bn170817529,524666471,2048,0
bn170817873,524696217,2048,2048
bn170817908,524699259,2048,0
bn170818137,524719044,2048,0
bn170818417,524743217,2048,2048
bn170818863,524781773,2048,2048
bn170819856,524867540,2048,2048
bn170820847,524953212,2048,2048
bn170821265,524989325,2048,0
bn170821288,524991286,2048,2048
bn170822816,525123278,2048,2048
bn170822830,525124545,2048,2048
bn170823470,525179795,2048,2048
bn170823751,525204107,2048,2048
bn170823820,525210086,2048,2048
bn170825307,525338526,2048,0
bn170825500,525355210,2048,0
bn170825784,525379756,2048,0
bn170826346,525428264,2048,2048
bn170826369,525430272,2048,0
bn170826819,525469141,2048,0
bn170826843,525471230,2048,2048
bn170827636,525539728,2048,2048
bn170827717,525546733,2048,2048
bn170827818,525555489,2048,0
bn170829414,525693395,2048,31744
bn170829674,525715808,2048,0
bn170830069,525749929,2048,0
bn170830135,525755646,2048,0
bn170830328,525772316,2048,0
bn170830825,525815272,2048,2048
bn170831179,525845896,2048,0
bn170831541,525877174,2048,2048
bn170831612,525883260,2048,2048
bn170831682,525889366,2048,2048
bn170901007,525917408,2048,0
bn170901255,525938872,2048,0
bn170901345,525946619,2048,0
bn170901604,525968976,2048,2048
bn170902029,526005731,2048,2048
bn170902595,526054607,2048,2048
bn170903118,526099781,2048,2048
bn170903257,526111793,2048,2048
bn170903534,526135752,2048,0
bn170903825,526160879,2048,2048
bn170904645,526231728,2048,2048
bn170904855,526249839,2048,2048
bn170904865,526250784,2048,2048
bn170904973,526260089,2048,2048
bn170905046,526266381,2048,2048
bn170905562,526310976,2048,2048
bn170905718,526324430,2048,2048
bn170906030,526351393,2048,0
bn170906039,526352145,2048,0
bn170906305,526375197,2048,2048
bn170906376,526381309,2048,2048
bn170906390,526382481,2048,2048
bn170906485,526390701,2048,0
bn170906505,526392470,2048,2048
bn170906512,526393069,2048,2048
bn170906554,526396644,2048,2048
bn170906629,526403170,2048,2048
bn170906957,526431457,2048,2048
bn170906983,526433726,2048,2048
bn170907059,526440322,2048,2048
bn170907428,526472211,2048,2048
bn170907617,526488497,2048,2048
bn170907779,526502501,2048,2048
bn170907968,526518873,2048,2048
bn170907982,526520016,2048,2048
bn170908010,526522492,2048,2048
bn170908071,526527729,2048,2048
bn170908081,526528625,2048,2048
bn170908097,526530007,2048,2048
bn170908104,526530609,2048,2048
bn170908154,526534886,2048,2048
bn170908168,526536103,2048,2048
bn170908175,526536703,2048,2048
bn170908192,526538220,2048,2048
bn170908232,526541648,2048,2048
bn170908240,526542370,2048,2048
bn170908247,526542972,2048,2048
bn170908296,526547214,2048,2048
bn170908330,526550087,2048,2048
bn170908473,526562482,2048,2048
bn170908509,526565565,2048,2048
bn170908533,526567667,2048,2048
bn170908540,526568266,2048,2048
bn170908603,526573676,2048,2048
bn170908610,526574275,2048,2048
bn170908639,526576780,2048,2048
bn170908655,526578154,2048,2048
bn170908686,526580850,2048,2048
bn170908739,526585480,2048,2048
bn170908867,526596529,2048,2048
bn170909068,526613883,2048,2048
bn170909434,526645474,2048,2048
bn170909465,526648152,2048,2048
bn170909947,526689863,2048,2048
bn170910196,526711313,2048,2048
bn170910368,526726205,2048,0
bn170910491,526736857,2048,2048
bn170910658,526751224,2048,2048
bn170910665,526751822,2048,2048
bn170910671,526752421,2048,2048
bn170910694,526754399,2048,2048
bn170911257,526803034,2048,2048
bn170911267,526803867,2048,0
bn170911550,526828362,2048,2048
bn170912273,526890831,2048,0
bn170912841,526939859,2048,2048
bn170912872,526942578,2048,2048
bn170912985,526952297,2048,0
bn170913147,526966322,2048,2048
bn170913289,526978609,2048,2048
bn170913360,526984720,2048,2048
bn170914351,527070358,2048,2048
bn170915161,527140295,2048,0
bn170915272,527149931,2048,2048
bn170915342,527155985,2048,2048
bn170915520,527171301,2048,0
bn170915837,527198754,2048,2048
bn170916211,527231035,2048,2048
bn170916264,527235585,2048,2048
bn170916333,527241578,2048,2048
bn170916402,527247539,2048,2048
bn170916700,527273256,2048,0
bn170917255,527321238,2048,2048
bn170917325,527327319,2048,2048
bn170917751,527364060,2048,2048
bn170918139,527397627,2048,0
bn170918246,527406881,2048,2048
bn170918317,527413013,2048,2048
bn170919238,527492607,2048,2048
bn170920230,527578266,2048,2048
bn170921168,527659336,2048,0
bn170923101,527826305,2048,0
bn170923188,527833870,2048,0
bn170923566,527866539,2048,0
bn170923773,527884431,2048,2048
bn170924349,527934163,2048,2048
bn170925541,528037110,2048,2048
bn170925611,528043180,2048,2048
bn170926528,528122386,2048,0
bn170926782,528144370,2048,2048
bn170927524,528208493,2048,0
bn170927630,528217663,2048,0
bn170927689,528222702,2048,2048
bn170928017,528251096,2048,2048
bn170928090,528257388,2048,2048
bn170928445,528288054,2048,2048
bn170928515,528294089,2048,2048
bn170928583,528299991,2048,2048
bn170928607,528302092,2048,0
bn170928941,528330888,2048,2048
bn170929011,528336935,2048,2048
bn170929506,528379689,2048,2048
bn170929513,528380344,2048,0
bn170929699,528396381,2048,0
bn170930003,528422682,2048,2048
bn170930494,528465129,2048,2048
bn170930564,528471107,2048,2048
bn170930680,528481180,2048,2048
bn170930994,528508320,2048,2048
bn171001986,528593997,2048,2048
bn171002969,528678918,2048,0
bn171003256,528703737,2048,2048
bn171003470,528722247,2048,2048
bn171004672,528826041,2048,0
bn171004782,528835605,2048,2048
bn171004857,528842020,2048,0
bn171007498,529070264,2048,0
bn171008080,529120483,2048,0
bn171008504,529157130,2048,2048
bn171008836,529185836,2048,2048
bn171009138,529211905,2048,0
bn171010792,529354855,2048,0
bn171010875,529361971,2048,2048
bn171011162,529386769,2048,0
bn171011687,529432160,2048,2048
bn171011759,529438407,2048,2048
bn171011810,529442792,2048,0
bn171011829,529444424,2048,2048
bn171012680,529517957,2048,2048
bn171012750,529523998,2048,2048
bn171013350,529575887,2048,0
bn171013670,529603536,2048,2048
bn171013742,529609721,2048,2048
bn171014452,529671035,2048,2048
bn171014663,529689279,2048,2048
bn171015654,529774948,2048,2048
bn171017004,529891583,2048,2048
bn171017234,529911400,2048,2048
